Puzzle,Solution
0321003004002100,4321123434122143
1400000032104020,1432234132144123
0010000402400421,4312213412433421
0300210000011043,4312213434211243
0102203040001020,3142243142131324
0132030100001020,4132234132141423
1400020000434020,1432321421434321
0000430204300104,1243431224313124
1200340101400000,1234342121434312
2000030204001203,2134431234211243
0020320143020000,1423324143122134
4002010000043420,4312214312343421
2430104000130000,2431134242133124
0100200143100040,3124243143121243
1400200402400020,1432231432414123
0402103020030020,3412123421434321
1003020001304002,1423324121344312
0310100000202043,4312123434212143
0204402003000031,3214412313422431
0014002040002041,3214142341322341
3120020300000041,3124421314322341
0030000203010123,1234341223414123
4003010203002001,4213314213242431
0000004234200130,4213134234212134
0200400203040013,3241413213242413
2030102400000042,2431132442133142
0000120400434001,3412123421434321
0000010202401403,2314413232411423
0014010004010042,3214412324311342
2031034000003020,2431134242133124
0230400030122000,1234432134122143
4301010300300004,4321214314323214
4003002000302041,4213312414322341
0010200002300321,3412214312344321
2000013200041020,2341413232141423
0010040043202040,3214143243212143
0001200304020210,4321214314323214
2100300012300002,2143342112344312
3004000214030300,3214413214232341
0000210403100240,3421213443121243
0200300241002040,1234341241232341
0400230432000020,1432231432414123
0040000210200314,3241413214232314
0213002004020300,4213312414322341
0203300000410402,4213312423411432
0243430000120000,1243432134122134
0004030014230001,2134431214233241
0320003120003010,1324423121433412
0300024320300002,4321124321343412
0003401004001230,2143431234211234
0012204003001200,3412214343211234
0143002000303200,2143432114323214
3410000020304300,3412124321344321
0040300201340020,1243341221344321
2003030201040030,2413134231244231
2041103030200000,2341143231244213
0210010423000030,4213312423411432
2003302040310000,2413312442311342
0342000100004013,1342243131244213
1003024003004030,1423324123144132
0040400102101030,2143432132141432
2401000410000210,2431312413424213
0203300041002004,1243342141322314
2000314210000010,2431314213244213
2130000030211000,2134431234211243
0031012010024000,2431312413424213
1024000342000002,1324241342313142
2010400000410023,2314413232411423
4020030000323001,4123231414323241
0430021020004100,1432321423414123
0040030202340001,2143431212343421
0000003101433010,1324423121433412
0200401200033020,1234431221433421
3200010200411000,3214413223411423
0001004002031304,2431314242131324
0043002140002100,1243342143122134
3401000301004002,3421124321344312
0300213000200041,4312213414233241
2004040001233000,2314143241233241
2000402000023041,2314412314323241
0304403021000002,1324423121433412
1002000321000021,1342421321343421
0020420014300001,3124421314322341
1400300000030341,1432321441232341
0200004024300104,4213134224313124
4013030000003140,4213132424313142
0100403020030042,3124423124131342
0310200034001040,4312213434211243
0210400000411003,3214413223411423
0020230110043000,4123234112343412
4023031000400002,4123231432411432
0200403000101403,3241413223141423
0400210000200231,3412214313244231
0034000120400410,1234432121433412
0430000403012100,1432321443212143
1030300000120043,1234342143122143
0241000320041000,3241412323141432
3410000000202140,3412123443212143
1320201000000140,1324241342313142
0230001240002300,1234341241232341
0203004221000400,4213134221343421
2000304203004030,2413314213244231
4003130001200400,4213134231242431
2004401000233000,2134431214233241
0200401201430000,1234431221433421
0132031030000020,4132231432411423
0402014010040020,3412214312344321
0042001030012030,1342421334212134
0403102030004200,2413132431424231
0000320413002030,4123321413422431
2000042331000001,2314142331424231
0000140002013102,2314142342313142
0042000001343400,1342421321343421
0104430000403002,2134432112433412
0200043003012003,3214143243212143
2004010010033040,2314413214233241
0014002001300301,3214142341322341
0031134024000000,4231134224133124
3004021000300041,3124421314322341
0430301000030340,1432321441232341
0000004310043401,4312214312343421
0120204130040000,4123234132141432
4310000300200230,4312214334211234
0000012010043410,2341412312343412
2140302000300002,2143342112344312
1403200400004200,1423231431424231
0204010303020400,3214412313422431
0310400010300240,2314412314323241
4002000001033021,4312123421433421
0100431200001040,2134431234211243
0320000330024001,1324241331424231
0302400100003104,1342423124133124
4003200104300010,4123234114323214
2004340200210000,2134341243211243
0143000000304310,2143342112344312
3100040000131002,3124243142131342
1034002100002400,1234432131422413
0000020103140430,4123324123141432
0001014003004210,2431314213244213
1023000130040100,1423234132144132
0142020100000310,3142423114232314
2400000202010320,2413314242311324
1030302120400000,1234342121434312
0040430202003001,2143431212343421
3402010040200030,3412214343211234
0200103020030301,3214143221434321
3020000003022103,3421123443122143
0100230002101003,4132234132141423
0021100040022003,3421123443122143
0030402004102003,1234432134122143
1230000040002340,1234341241232341
2004010012403000,2314413212433421
0200000121400310,1234342121434312
1023030000044100,1423234132144132
0304021030420000,1324421331422431
2000001203201030,2143341243211234
2034042000004200,2134342113424213
2340000314000200,2341412314323214
2400104202000003,2431134232144123
1340203001040000,1342243131244213
0430304002001020,2431314242131324
4030020100041003,4132324123141423
0312013004000003,4312213434211243
1030430000020103,1234432134122143
0400024303102000,3421124343122134
0120043040120000,3124243143121243
0000041330404002,1324241332414132
4230010000001420,4231314223141423
0000230030040123,1432234132144123
0400100041200301,3412123441232341
0302210000340020,4312214312343421
0402004000311004,3412214342311324
0430104002140000,2431134232144123
0001040242100020,2341143242133124
0002400301002031,1342421331242431
0430020400230040,1432321441232341
0003041000301320,2143341242311324
0000040340011230,3142241343211234
0010030420013100,4213132424313142
0314000002004130,2314142332414132
3021200440030000,3421213442131342
1002043002103000,1342243142133124
0000402024011002,3214412324311342
1000200440203200,1432231441233241
0320000014303004,4321214314323214
4100234010020000,4123234114323214
0200100201002310,3241143241232314
0140030130020004,2143432134121234
4000210300201200,4312214334211234
4020324004300000,4123324114322314
4100031000401002,4123231432411432
0024000040310302,3124241342311342
0000312040011300,2413312442311342
0032000040212040,1432321443212143
0020040000320241,1324241341323241
3201000004020304,3241412314322314
0000340003212030,1243341243212134
1003200032400100,1423231432414132
4100004000032304,4132324114232314
0032301410000001,4132321414232341
0010400313022000,3214412313422431
0300003204203004,2341413214233214
2000314000010034,2413314243211234
0200400200030324,3241413224131324
0024000103024003,3124243113424213
0400302042101000,2431312442131342
0314012000410000,2314412332411432
3102403000100003,3142423123141423
0100200340300024,3142241342311324
1003204100040030,1423234132144132
3000004043022030,3421124343122134
0401020001340010,3421124321344312
0201000040022304,3241142341322314
0040140003140020,3241143223144123
0020000440313100,1423231442313142
0002000412004320,3412213412434321
0300043240000201,2314143241233241
1042043000004200,1342243131244213
